id;CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment;Latitude;Longitude;State;location
1692;36081048300;Queens;Queens;4212;2004;2208;46.8;10.8;0.7;0;39.7;1954;43019;7199;19690;3297;20.1;28.5;21.5;43.6;18;3.1;13.7;14.7;3.9;72.4;3.8;3.6;1.5;39.6;1996;89.6;4.3;5.6;0.5;5.8;407.423.115.578;-738.969.346.734;NY;40.7423115578 -73.8969346734
1693;36081048400;Queens;Queens;4977;2305;2672;11.5;3.2;29;0;38.7;3354;61184;12078;25354;2511;8.4;9.9;25.8;27.5;27;10.8;9;42.4;1.4;51.6;0.9;2.6;1.1;49.8;2779;84.8;8.7;6.5;0;12.9;407.151.758.794;-737.639.698.492;NY;40.7151758794 -73.7639698492
1694;36081048500;Queens;Queens;4639;2156;2483;19.2;7.7;1.2;0;70.6;2457;53194;8658;24101;3925;11.3;6.3;38.2;17.1;25;5.9;13.7;9.5;7.3;76.6;2.8;0.4;3.3;46.8;2242;82.8;10.1;7;0;7.8;407.400.502.513;-738.937.688.442;NY;40.7400502513 -73.8937688442
1695;36081048900;Queens;Queens;1651;805;846;33;9;0.3;0;57.7;842;65625;15429;24455;5495;8;2.9;19.3;28.1;32.8;10.5;9.3;34;13.3;48.4;3.8;0;0.5;38.9;818;87.2;8.7;4.2;0;3.9;407.355.276.382;-738.937.688.442;NY;40.7355276382 -73.8937688442
1696;36081049200;Queens;Queens;4387;1870;2517;12.5;2.5;55.6;0;19.9;3006;54432;6202;29050;3461;6.8;5.2;39.7;15.8;28.4;5.3;10.8;48.9;7.8;39.6;1.5;2.2;0;44.1;2112;77.6;18.5;3.9;0;7.8;407.196.984.925;-737.608.040.201;NY;40.7196984925 -73.7608040201
1697;36081049301;Queens;Queens;1933;939;994;25.5;43.5;1.1;0;29.4;1129;60426;9710;28859;3069;7;2.1;29.1;27.8;26.5;7.7;8.9;31;9;50.9;5.9;1.4;1.8;38.1;971;82.7;13.2;4.1;0;7.4;407.332.663.317;-738.937.688.442;NY;40.7332663317 -73.8937688442
1698;36081049302;Queens;Queens;2376;1146;1230;24.7;58.9;5.6;0;10;1656;60268;11797;29313;4979;12;17.1;36.4;19.4;25.3;12.5;6.4;32.4;0.9;57.3;8.1;1.3;0;41.8;1032;84.4;9.6;6;0;11.1;407.264.824.121;-738.937.688.442;NY;40.7264824121 -73.8937688442
1699;36081049500;Queens;Queens;1283;555;728;38;58.2;0;0;3.8;897;60594;14946;27106;4018;11.6;13.9;25.6;20;20.3;20.3;13.8;38.6;6;48.3;1.7;1.4;3.9;42.1;636;76.7;16.2;7.1;0;7.7;407.242.211.055;-738.937.688.442;NY;40.7242211055 -73.8937688442
1700;36081049600;Queens;Queens;3110;1559;1551;18.3;3.3;18.9;0;31.8;2221;73013;15041;22977;2805;10.3;16.9;23.3;18.2;34.2;11.5;12.7;54.9;6.4;32.6;1.7;2.4;2;44.4;1517;78.6;15.4;6;0;15.3;407.151.758.794;-737.544.723.618;NY;40.7151758794 -73.7544723618
1701;36081049700;Queens;Queens;2675;1329;1346;25.9;35.8;0.9;0;33.9;1613;45417;3935;28090;9149;11.3;9.8;26.8;19.2;30.6;16.3;7.1;37.1;2.5;55.7;4.8;0;0;40.4;1366;81.8;11.6;6.6;0;4.5;407.310.050.251;-738.906.030.151;NY;40.7310050251 -73.8906030151
1702;36081049900;Queens;Queens;4980;2575;2405;18.7;11.4;0;0;68.5;2502;57813;10504;23257;2900;13.1;17.1;35.4;23.5;22.4;6.8;11.9;24.3;7.9;60.3;3.3;1.7;2.5;42.9;2308;79.8;16.2;3.4;0.6;7.5;407.287.437.186;-738.874.371.859;NY;40.7287437186 -73.8874371859
1703;36081050000;Queens;Queens;4444;2241;2203;16.9;4.2;64.9;0.2;7.9;2683;40044;10930;18926;3189;24.2;32.2;20.2;38.8;14.4;11.7;15;33.7;4.5;49.1;4.4;4.3;3.9;46.3;1883;72.5;22.9;4.5;0;17.1;407.106.532.663;-737.703.015.075;NY;40.7106532663 -73.7703015075
1704;36081050201;Queens;Queens;1427;639;788;13.9;0.8;78.8;0;3.4;942;74813;9382;27290;5810;2.5;1.5;24.5;21.9;26.9;12.9;13.8;41.4;2.5;50;4;0;2;44.3;784;77.8;20;2.2;0;9.4;407.083.919.598;-737.671.356.784;NY;40.7083919598 -73.7671356784
1705;36081050202;Queens;Queens;1357;599;758;10.3;1.6;73.7;0;8.8;989;61618;10928;24166;4361;6.9;0;20.7;36.7;29.5;6.2;6.9;48.2;5.4;45.4;0;0;1;54.1;711;81.9;16.6;1.5;0;19.5;407.083.919.598;-737.608.040.201;NY;40.7083919598 -73.7608040201
1706;36081050400;Queens;Queens;2018;969;1049;7;2.8;88.4;0.1;0;1451;64554;12021;24599;3993;8.6;15.6;28.7;26.1;33.3;3.9;8;45.1;2;50.6;2.4;0;0;44.6;978;76.8;16.5;6.7;0;15.9;407.038.693.467;-737.671.356.784;NY;40.7038693467 -73.7671356784
